feature_ID	mz	rtime
90.99305915_107.1922402	90.99305915	107.1922402
91.00894351_155.6852921	91.00894351	155.6852921
91.02463567_173.4782902	91.02463567	173.4782902
91.02780466_184.5875282	91.02780466	184.5875282
91.05450065_196.0508726	91.05450065	196.0508726
91.05860274_116.5993924	91.05860274	116.5993924
91.09493632_50.45635896	91.09493632	50.45635896
91.50497033_162.9424206	91.50497033	162.9424206
91.52417625_165.880581	91.52417625	165.880581
91.54261482_151.0186467	91.54261482	151.0186467
91.5678724_195.829063	91.5678724	195.829063
91.98027574_99.15550417	91.98027574	99.15550417
92.00664645_152.3337907	92.00664645	152.3337907
92.03718664_139.8461013	92.03718664	139.8461013
92.05787538_278.9995791	92.05787538	278.9995791
92.50375665_154.5031584	92.50375665	154.5031584
92.52256584_212.9308465	92.52256584	212.9308465
92.98123241_108.6352461	92.98123241	108.6352461
93.04510528_153.8621014	93.04510528	153.8621014
93.07016967_270.0603099	93.07016967	270.0603099
93.76552477_155.5808252	93.76552477	155.5808252
93.92781676_126.8579574	93.92781676	126.8579574
94.0453824_148.4647431	94.0453824	148.4647431
94.06539254_134.6285395	94.06539254	134.6285395
94.26674731_148.3962141	94.26674731	148.3962141
94.54586001_149.3533202	94.54586001	149.3533202
95.0441601_149.1437194	95.0441601	149.1437194
95.04943326_278.5358116	95.04943326	278.5358116
95.06066655_161.4838118	95.06066655	161.4838118
95.07119832_161.0444481	95.07119832	161.0444481
95.08579728_239.6973474	95.08579728	239.6973474
95.33664358_194.1844909	95.33664358	194.1844909
95.97372435_189.642397	95.97372435	189.642397
96.51508885_163.4716587	96.51508885	163.4716587
96.9043907_75.33062131	96.9043907	75.33062131
96.92208896_75.05725131	96.92208896	75.05725131
96.96131125_179.2245467	96.96131125	179.2245467
96.97218282_156.3504691	96.97218282	156.3504691
97.01520794_195.4299822	97.01520794	195.4299822
97.02871145_265.4644859	97.02871145	265.4644859
97.03992203_38.68220497	97.03992203	38.68220497
97.03995939_274.0770946	97.03995939	274.0770946
97.06511945_246.8603913	97.06511945	246.8603913
97.07633693_110.532382	97.07633693	110.532382
97.10151392_259.7529643	97.10151392	259.7529643
97.51467486_154.4027958	97.51467486	154.4027958
97.93272968_182.9200865	97.93272968	182.9200865
97.9690932_159.8084543	97.9690932	159.8084543
