datatype_1	datatype_2	community1_number	community2_number	PLS_score	p-value
genes	antibody	10	1	0.4240976087470137	0.15252278302008537
genes	antibody	7	1	0.3931697508926774	0.1749081504632083
genes	antibody	1	1	0.24883741459554937	0.5853786600028473
genes	antibody	2	1	0.17646053999357333	1
genes	antibody	4	1	0.1504996713136731	1
genes	antibody	3	1	0.14672100036198985	1
genes	antibody	5	1	0.1224824473862649	1
genes	antibody	6	1	0.11720686204179652	1
genes	antibody	9	1	0.10195252776493902	1
genes	antibody	8	1	0.08759501126463601	1
genes	antibody	12	1	0.08476104282351615	1
genes	antibody	11	1	0.07441936311353983	1
genes	antibody	13	1	0.04299688966843068	1
