datatype_1	datatype_2	community1_number	community2_number	PLS_score	p-value
genes	antibody	7	1	0.2699864557196272	0.3751118691522426
genes	antibody	6	1	0.1783210257055445	1
genes	antibody	9	1	0.17332103565507323	1
genes	antibody	2	1	0.15326232302294254	1
genes	antibody	10	1	0.1512672027072035	1
genes	antibody	3	1	0.14451867982824382	1
genes	antibody	12	1	0.10444243849363845	1
genes	antibody	5	1	0.08340330687784248	1
genes	antibody	8	1	0.08146823672620332	1
genes	antibody	13	1	0.074631417400665	1
genes	antibody	11	1	0.06546493417956922	1
genes	antibody	1	1	0.054239898397671245	1
genes	antibody	4	1	0.024145448198747834	1
