datatype_1	datatype_2	community1_number	community2_number	PLS_score	p-value
genes	antibody	7	1	0.26467540737533907	0.4191471312276492
genes	antibody	9	1	0.23441942920707773	0.716861906017495
genes	antibody	2	1	0.14130279864878945	1
genes	antibody	13	1	0.13034729384998553	1
genes	antibody	10	1	0.12891629436486177	1
genes	antibody	5	1	0.1040357903926434	1
genes	antibody	12	1	0.0986206925006346	1
genes	antibody	11	1	0.09226348378567151	1
genes	antibody	1	1	0.0912973685085856	1
genes	antibody	6	1	0.08791748386259689	1
genes	antibody	8	1	0.08382132877303572	1
genes	antibody	4	1	0.08129092185745804	1
genes	antibody	3	1	0.06391256499979783	1
