datatype_1	datatype_2	community1_number	community2_number	PLS_score	p-value
genes	antibody	9	1	0.20409880379639955	1
genes	antibody	10	1	0.18324088462754298	1
genes	antibody	7	1	0.1532290101789074	1
genes	antibody	2	1	0.12437919675884417	1
genes	antibody	12	1	0.11931485941429902	1
genes	antibody	8	1	0.10550113308655949	1
genes	antibody	5	1	0.08935174664448256	1
genes	antibody	3	1	0.07815851614142362	1
genes	antibody	13	1	0.07352584627929938	1
genes	antibody	4	1	0.05028361676150249	1
genes	antibody	6	1	0.04734167977518048	1
genes	antibody	1	1	0.03876645904314932	1
genes	antibody	11	1	0.031356044815138005	1
