datatype_1	datatype_2	community1_number	community2_number	PLS_score	p-value
genes	antibody	7	1	0.319216231537697	0.2134084004423321
genes	antibody	2	1	0.27112372385941447	0.2991769407802459
genes	antibody	10	1	0.25009231265172754	0.3931462730358998
genes	antibody	6	1	0.24310086845939133	0.4406518806693441
genes	antibody	12	1	0.17556167539259457	1
genes	antibody	9	1	0.16334017368910073	1
genes	antibody	11	1	0.15316954664058158	1
genes	antibody	3	1	0.14876765760096705	1
genes	antibody	4	1	0.1418326240086727	1
genes	antibody	8	1	0.13873345233365156	1
genes	antibody	13	1	0.1350831238750446	1
genes	antibody	5	1	0.11177601923986431	1
genes	antibody	1	1	0.03407859369263978	1
