datatype_1	datatype_2	community1_number	community2_number	PLS_score	p-value
genes	antibody	7	1	0.25971338969406127	0.39381327625211876
genes	antibody	9	1	0.22899402097728166	0.5883800021579119
genes	antibody	10	1	0.13070263910412855	1
genes	antibody	2	1	0.1270957832559957	1
genes	antibody	13	1	0.11302248971299604	1
genes	antibody	1	1	0.10442401778140918	1
genes	antibody	12	1	0.10409339070745541	1
genes	antibody	11	1	0.09644627115945273	1
genes	antibody	5	1	0.09292765614286767	1
genes	antibody	4	1	0.0796883247760983	1
genes	antibody	3	1	0.07952875403154509	1
genes	antibody	6	1	0.06839185198878044	1
genes	antibody	8	1	0.06814025318472733	1
