datatype_1	datatype_2	community1_number	community2_number	PLS_score	p-value
genes	antibody	7	1	0.33494161230478237	0.21982372560851754
genes	antibody	12	1	0.20562848213986773	1
genes	antibody	10	1	0.18019672281357613	1
genes	antibody	9	1	0.1303684744059082	1
genes	antibody	1	1	0.12767574285179745	1
genes	antibody	5	1	0.10086542659511155	1
genes	antibody	2	1	0.0878749400373653	1
genes	antibody	13	1	0.060873704246516655	1
genes	antibody	11	1	0.058234657330400445	1
genes	antibody	6	1	0.038803420446818525	1
genes	antibody	3	1	0.038498754320614295	1
genes	antibody	4	1	0.03351456700432339	1
genes	antibody	8	1	0.029855883304577835	1
