datatype_1	datatype_2	community1_number	community2_number	PLS_score	p-value
genes	antibody	7	1	0.5238926171463535	0.024587026833049332
genes	antibody	10	1	0.2926402495067158	0.29774159287975765
genes	antibody	2	1	0.22373448308643146	0.7374266208333511
genes	antibody	4	1	0.20848200399354835	0.9989881723062133
genes	antibody	3	1	0.19640413761620124	1
genes	antibody	6	1	0.17868758703124388	1
genes	antibody	11	1	0.17740381472006933	1
genes	antibody	12	1	0.1723823552553137	1
genes	antibody	1	1	0.15891613365223256	1
genes	antibody	8	1	0.13993988765022405	1
genes	antibody	13	1	0.13801278180296667	1
genes	antibody	5	1	0.1281816369905652	1
genes	antibody	9	1	0.0809221768363829	1
