datatype_1	datatype_2	community1_number	community2_number	PLS_score	p-value
genes	antibody	7	1	0.34070928106950416	0.21778939007235068
genes	antibody	6	1	0.21898090499961168	1
genes	antibody	10	1	0.20635063186903224	1
genes	antibody	9	1	0.1952794076654687	1
genes	antibody	5	1	0.19062068719290076	1
genes	antibody	3	1	0.16790419193148928	1
genes	antibody	8	1	0.16392416748926192	1
genes	antibody	11	1	0.1267342269733142	1
genes	antibody	1	1	0.12280194087571722	1
genes	antibody	2	1	0.0878889222911864	1
genes	antibody	12	1	0.07481671761212429	1
genes	antibody	13	1	0.038915924128916625	1
genes	antibody	4	1	0.02352780883825685	1
