datatype_1	datatype_2	community1_number	community2_number	PLS_score	p-value
genes	antibody	3	1	0.22060258648369474	0.7380117591627351
genes	antibody	7	1	0.21355680897391277	0.8286295148644998
genes	antibody	10	1	0.2032478585518683	0.9943794228344113
genes	antibody	12	1	0.15417772707125685	1
genes	antibody	2	1	0.14624608288753463	1
genes	antibody	11	1	0.140806392015713	1
genes	antibody	9	1	0.11950433425903279	1
genes	antibody	6	1	0.09109716428042582	1
genes	antibody	8	1	0.07579335729205475	1
genes	antibody	4	1	0.07176278680648689	1
genes	antibody	5	1	0.06763018430845241	1
genes	antibody	1	1	0.055314279781983416	1
genes	antibody	13	1	0.04000801347425319	1
