datatype_1	datatype_2	community1_number	community2_number	PLS_score	p-value
genes	antibody	7	1	0.39765018957869824	0.12128271414201577
genes	antibody	10	1	0.3769654970551534	0.14445487688635475
genes	antibody	9	1	0.2139840228929654	0.5695793941842879
genes	antibody	3	1	0.1932299535098686	0.714207359714822
genes	antibody	1	1	0.15988170648213085	1
genes	antibody	11	1	0.15310631977006778	1
genes	antibody	4	1	0.14533751082252375	1
genes	antibody	2	1	0.138703282869263	1
genes	antibody	6	1	0.11977979847408235	1
genes	antibody	8	1	0.08855785930342326	1
genes	antibody	12	1	0.0797010326205843	1
genes	antibody	5	1	0.01812947563235594	1
genes	antibody	13	1	0.015406050874963358	1
