datatype_1	datatype_2	community1_number	community2_number	PLS_score	p-value
genes	antibody	7	1	0.29408571052672977	0.35015209728816965
genes	antibody	12	1	0.24382386732615835	0.8212910504567983
genes	antibody	10	1	0.22169404027799905	1
genes	antibody	9	1	0.15755496926508722	1
genes	antibody	1	1	0.12434277088194423	1
genes	antibody	5	1	0.12227409432660312	1
genes	antibody	3	1	0.11406633549282515	1
genes	antibody	6	1	0.10275860277787023	1
genes	antibody	2	1	0.09091534533031262	1
genes	antibody	13	1	0.06692785905829332	1
genes	antibody	11	1	0.05825463299051097	1
genes	antibody	4	1	0.0420438546795179	1
genes	antibody	8	1	0.026452333571653438	1
